Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
192.168.10.50-207.210.46.249-123-123-17,192.168.10.50,123,207.210.46.249,123,17,3/7/2017 10:21,26325,1,1,48,48,48,48,48,0,48,48,48,0,3646.723647,75.97340931,26325,0,26325,26325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,37.98670465,37.98670465,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
152.163.66.131-192.168.10.16-443-56372-6,192.168.10.16,56372,152.163.66.131,443,6,3/7/2017 11:31,28470,1,1,6,6,6,6,6,0,6,6,6,0,421.4963119,70.24938532,28470,0,28470,28470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,35.12469266,35.12469266,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,343,5120,0,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.17-23.194.141.180-44272-443-6,192.168.10.17,44272,23.194.141.180,443,6,5/7/2017 3:33,29409364,31,31,1304,48504,344,0,42.06451613,102.1459529,4344,0,1564.645161,1120.732217,1693.610239,2.108172077,482120.7213,1953635.312,10000000,2,29400000,980312.1333,2723475.112,10000000,2,23000000,767295.2667,2533033.679,10000000,2,0,0,0,0,1000,1000,1.054086039,1.054086039,0,4344,790.6031746,1096.639096,1202617.308,0,0,0,1,0,0,0,0,1,803.3548387,42.06451613,1564.645161,1000,0,0,0,0,0,0,31,1304,31,48504,29200,1073,5,32,1495010,2081935.91,2967161,22859,10000000,15092.48714,10000000,10000000,BENIGN
192.168.10.3-192.168.10.16-53-36457-17,192.168.10.16,36457,192.168.10.3,53,17,3/7/2017 4:43,122544,2,2,68,196,34,34,34,0,98,98,98,0,2154.328241,32.64133699,40848,70707.51419,122494,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,64,64,16.32066849,16.32066849,34,98,59.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,74.5,34,98,64,0,0,0,0,0,0,2,68,2,196,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.5-53-58564-17,192.168.10.5,58564,192.168.10.3,53,17,5/7/2017 3:13,18131940,4,4,144,240,36,36,36,0,68,52,60,9.237604307,21.17809788,0.441210372,2590277.143,6853089.804,18100000,3,18100000,6043927.667,10500000,18100000,3,18100000,6043929,10500000,18100000,3,0,0,0,0,104,104,0.220605186,0.220605186,36,68,46.66666667,13.85640646,192,0,0,0,0,0,0,0,0,1,52.5,36,60,104,0,0,0,0,0,0,4,144,4,240,-1,-1,3,20,156,0,156,156,18100000,0,18100000,18100000,BENIGN
192.168.10.3-192.168.10.15-53-61265-17,192.168.10.15,61265,192.168.10.3,53,17,6/7/2017 9:12,148,2,2,82,114,41,41,41,0,57,57,57,0,1324324.324,27027.02703,49.33333333,47.01418226,97,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,13513.51351,13513.51351,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41,57,64,0,0,0,0,0,0,2,82,2,114,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.8-64.71.142.113-49216-443-6,64.71.142.113,443,192.168.10.8,49216,6,3/7/2017 9:20,2,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,18500000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,1,0,0,0,40,0,1000000,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,31,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.51-193.28.195.17-57956-80-6,192.168.10.51,57956,193.28.195.17,80,6,5/7/2017 4:23,248184,3,4,311,420,311,0,103.6666667,179.5559337,420,0,105,210,2945.395352,28.20488025,41364,59817.48539,118783,4,118358,59179,83247.68135,118044,314,130179,43393,65827.00314,119136,4,0,0,0,0,104,136,12.08780582,16.11707443,0,420,91.375,171.6832112,29475.125,0,0,0,1,0,0,0,0,1,104.4285714,103.6666667,105,104,0,0,0,0,0,0,3,311,4,420,29200,4691,1,32,0,0,0,0,0,0,0,0,BENIGN
192.168.10.9-64.71.142.110-20731-443-6,64.71.142.110,443,192.168.10.9,20731,6,5/7/2017 2:42,257,2,0,12,0,6,6,6,0,0,0,0,0,46692.607,7782.101167,257,0,257,257,257,257,0,257,257,0,0,0,0,0,0,0,0,0,40,0,7782.101167,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,35,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
192.168.10.3-192.168.10.15-53-49187-17,192.168.10.15,49187,192.168.10.3,53,17,4/7/2017 4:17,248,2,2,150,406,75,75,75,0,203,203,203,0,2241935.484,16129.03226,82.66666667,60.044428,152,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,8064.516129,8064.516129,75,203,126.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,157.75,75,203,64,0,0,0,0,0,0,2,150,2,406,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-46866-80-6,172.16.0.1,46866,192.168.10.50,80,6,5/7/2017 10:57,97463530,7,6,359,11595,353,0,51.28571429,133.062284,5792,0,1932.5,2537.820147,122.651006,0.133383225,8121960.833,28100000,97500000,1,97500000,16200000,39800000,97500000,1,1305,261,455.3020975,1071,2,0,0,0,0,220,200,0.071821737,0.061561489,0,5792,853.8571429,1850.730203,3425202.286,0,0,0,0,1,0,0,0,0,919.5384615,51.28571429,1932.5,220,0,0,0,0,0,0,7,359,6,11595,251,235,2,20,996,0,996,996,97500000,0,97500000,97500000,DoS Hulk
192.168.10.17-192.168.10.50-37513-22-6,192.168.10.17,37513,192.168.10.50,22,6,7/7/2017 4:17,1300726,41,42,2664,6954,456,0,64.97560976,109.864573,976,0,165.5714286,320.4037958,7394.332088,63.81051813,15862.5122,106017.9367,952833,1,1300726,32518.15,159673.6834,995093,3,347718,8480.926829,23042.04686,128734,1,0,0,0,0,1328,1360,31.52085835,32.28965977,0,976,114.5,243.3458791,59217.21687,0,0,0,1,0,0,0,0,1,115.8795181,64.97560976,165.5714286,1328,0,0,0,0,0,0,41,2664,42,6954,29200,243,24,32,0,0,0,0,0,0,0,0,BENIGN
172.16.0.1-192.168.10.50-18251-80-6,192.168.10.50,80,172.16.0.1,18251,6,7/7/2017 3:59,6010393,1,5,6,30,6,6,6,0,6,6,6,0,5.989624971,0.998270829,1202078.6,2681410.089,5998728,3,0,0,0,0,0,6002865,1500716.25,2998674.782,5998728,3,0,0,0,0,20,100,0.166378471,0.831892357,6,6,6,0,0,0,0,0,0,1,1,0,0,5,7,6,6,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,11665,0,11665,11665,5998728,0,5998728,5998728,BENIGN
